Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
spike protein [RNA transcription vector pBRDI1],RNA transcription vector pBRDI1,RNA transcription vector pBRDI1,222558,32.5,32.5,73%,15,81.82,1452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO59459.1?report=genbank&log$=prottop&blast_rank=11&RID=WF732HJ7013"",""AAO59459.1"")"
PREDICTED: RWD domain-containing protein 1 [Gekko japonicus],Gekko japonicus,Gekko japonicus,146911,32.5,32.5,80%,15,75.00,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015264560.1?report=genbank&log$=prottop&blast_rank=12&RID=WF732HJ7013"",""XP_015264560.1"")"
hypothetical protein [Bartonella apis],Bartonella apis,Bartonella apis,1686310,32.5,32.5,66%,15,90.00,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077991615.1?report=genbank&log$=prottop&blast_rank=13&RID=WF732HJ7013"",""WP_077991615.1"")"
hypothetical protein EI555_018277 [Monodon monoceros],Monodon monoceros,narwhal,40151,32.5,32.5,73%,15,81.82,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TKC52576.1?report=genbank&log$=prottop&blast_rank=14&RID=WF732HJ7013"",""TKC52576.1"")"
hypothetical protein [Bartonella apis],Bartonella apis,Bartonella apis,1686310,32.5,32.5,66%,15,90.00,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077991630.1?report=genbank&log$=prottop&blast_rank=15&RID=WF732HJ7013"",""WP_077991630.1"")"
L1 protein [human papillomavirus 75],Human papillomavirus type 75,Human papillomavirus type 75,69984,32.0,32.0,66%,21,90.00,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA75454.1?report=genbank&log$=prottop&blast_rank=16&RID=WF732HJ7013"",""CAA75454.1"")"
L1 protein [human papillomavirus 76],Human papillomavirus type 76,Human papillomavirus type 76,69985,32.0,32.0,66%,21,90.00,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA75461.1?report=genbank&log$=prottop&blast_rank=17&RID=WF732HJ7013"",""CAA75461.1"")"
major capsid protein [Human papillomavirus 145],Human papillomavirus 145,Human papillomavirus 145,1070418,32.0,32.0,66%,21,90.00,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEM24669.1?report=genbank&log$=prottop&blast_rank=18&RID=WF732HJ7013"",""AEM24669.1"")"
L1 protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,32.0,32.0,66%,21,90.00,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHJ81238.1?report=genbank&log$=prottop&blast_rank=19&RID=WF732HJ7013"",""AHJ81238.1"")"
L1 protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,32.0,32.0,66%,21,90.00,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYA94000.1?report=genbank&log$=prottop&blast_rank=20&RID=WF732HJ7013"",""AYA94000.1"")"
hypothetical protein [Dokdonia pacifica],Dokdonia pacifica,Dokdonia pacifica,1627892,32.0,32.0,66%,21,90.00,403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089370108.1?report=genbank&log$=prottop&blast_rank=21&RID=WF732HJ7013"",""WP_089370108.1"")"
esterase [Streptomyces corchorusii],Streptomyces corchorusii,Streptomyces corchorusii,1903,32.0,32.0,66%,21,90.00,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_059265187.1?report=genbank&log$=prottop&blast_rank=22&RID=WF732HJ7013"",""WP_059265187.1"")"
esterase [Streptomyces hygroscopicus],Streptomyces hygroscopicus,Streptomyces hygroscopicus,1912,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014677187.1?report=genbank&log$=prottop&blast_rank=23&RID=WF732HJ7013"",""WP_014677187.1"")"
esterase [Streptomyces misionensis],Streptomyces misionensis,Streptomyces misionensis,67331,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TWV41856.1?report=genbank&log$=prottop&blast_rank=24&RID=WF732HJ7013"",""TWV41856.1"")"
esterase [Streptomyces griseofuscus],Streptomyces griseofuscus,Streptomyces griseofuscus,146922,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RRQ72657.1?report=genbank&log$=prottop&blast_rank=25&RID=WF732HJ7013"",""RRQ72657.1"")"
esterase [Streptomyces sp. 61],Streptomyces sp. 61,Streptomyces sp. 61,2035242,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099894694.1?report=genbank&log$=prottop&blast_rank=26&RID=WF732HJ7013"",""WP_099894694.1"")"
MULTISPECIES: esterase [Streptomyces],Streptomyces,Streptomyces,1883,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_030787460.1?report=genbank&log$=prottop&blast_rank=27&RID=WF732HJ7013"",""WP_030787460.1"")"
esterase [Streptomyces sp. GMY01],Streptomyces sp. GMY01,Streptomyces sp. GMY01,1333528,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169437193.1?report=genbank&log$=prottop&blast_rank=28&RID=WF732HJ7013"",""WP_169437193.1"")"
esterase [Streptomyces sp. 2132.2],Streptomyces sp. 2132.2,Streptomyces sp. 2132.2,2485161,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123516464.1?report=genbank&log$=prottop&blast_rank=29&RID=WF732HJ7013"",""WP_123516464.1"")"
MULTISPECIES: esterase [unclassified Streptomyces],unclassified Streptomyces,unclassified Streptomyces,2593676,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009192812.1?report=genbank&log$=prottop&blast_rank=30&RID=WF732HJ7013"",""WP_009192812.1"")"
esterase [Streptomyces hygroscopicus],Streptomyces hygroscopicus,Streptomyces hygroscopicus,1912,32.0,32.0,66%,21,90.00,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058083542.1?report=genbank&log$=prottop&blast_rank=31&RID=WF732HJ7013"",""WP_058083542.1"")"
esterase [Streptomyces sp. SID5998],Streptomyces sp. SID5998,Streptomyces sp. SID5998,2690316,32.0,32.0,66%,21,90.00,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYS46517.1?report=genbank&log$=prottop&blast_rank=32&RID=WF732HJ7013"",""MYS46517.1"")"
glycosyltransferase [Flammeovirga sp. EKP202],Flammeovirga sp. EKP202,Flammeovirga sp. EKP202,2770592,32.0,32.0,86%,21,73.33,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188170318.1?report=genbank&log$=prottop&blast_rank=33&RID=WF732HJ7013"",""WP_188170318.1"")"
S-formylglutathione hydrolase FrmB [Streptomyces sp. 61],Streptomyces sp. 61,Streptomyces sp. 61,2035242,32.0,32.0,66%,21,90.00,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIG48143.1?report=genbank&log$=prottop&blast_rank=34&RID=WF732HJ7013"",""PIG48143.1"")"
S-formylglutathione hydrolase FrmB [Streptomyces sp. 2132.2],Streptomyces sp. 2132.2,Streptomyces sp. 2132.2,2485161,32.0,32.0,66%,21,90.00,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ROR00102.1?report=genbank&log$=prottop&blast_rank=35&RID=WF732HJ7013"",""ROR00102.1"")"
esterase [Streptomyces eurythermus],Streptomyces eurythermus,Streptomyces eurythermus,42237,32.0,32.0,66%,21,90.00,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189757433.1?report=genbank&log$=prottop&blast_rank=36&RID=WF732HJ7013"",""WP_189757433.1"")"
esterase [Streptomyces sp. WELS2],Streptomyces sp. WELS2,Streptomyces sp. WELS2,2749435,32.0,32.0,66%,21,90.00,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181797627.1?report=genbank&log$=prottop&blast_rank=37&RID=WF732HJ7013"",""WP_181797627.1"")"
esterase [Streptomyces olivaceoviridis],Streptomyces olivaceoviridis,Streptomyces olivaceoviridis,1921,32.0,32.0,66%,21,90.00,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189820140.1?report=genbank&log$=prottop&blast_rank=38&RID=WF732HJ7013"",""WP_189820140.1"")"
esterase [Streptomyces griseofuscus],Streptomyces griseofuscus,Streptomyces griseofuscus,146922,32.0,32.0,66%,21,90.00,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_172624517.1?report=genbank&log$=prottop&blast_rank=39&RID=WF732HJ7013"",""WP_172624517.1"")"
esterase [Streptomyces misionensis],Streptomyces misionensis,Streptomyces misionensis,67331,32.0,32.0,66%,21,90.00,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186785534.1?report=genbank&log$=prottop&blast_rank=40&RID=WF732HJ7013"",""WP_186785534.1"")"
esterase [Streptomyces hygroscopicus],Streptomyces hygroscopicus,Streptomyces hygroscopicus,1912,32.0,32.0,66%,21,90.00,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_175252462.1?report=genbank&log$=prottop&blast_rank=41&RID=WF732HJ7013"",""WP_175252462.1"")"
esterase [Streptomyces sp. SID89],Streptomyces sp. SID89,Streptomyces sp. SID89,2690366,32.0,32.0,66%,21,90.00,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYX41728.1?report=genbank&log$=prottop&blast_rank=42&RID=WF732HJ7013"",""MYX41728.1"")"
major capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,32.0,32.0,66%,21,90.00,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAE84967.1?report=genbank&log$=prottop&blast_rank=43&RID=WF732HJ7013"",""CAE84967.1"")"
capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,32.0,32.0,66%,21,90.00,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB97523.1?report=genbank&log$=prottop&blast_rank=44&RID=WF732HJ7013"",""AAB97523.1"")"
L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,32.0,32.0,66%,21,90.00,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA03931.1?report=genbank&log$=prottop&blast_rank=45&RID=WF732HJ7013"",""CAA03931.1"")"
"L1 major capsid protein, partial [human papillomavirus 76]",Human papillomavirus type 76,Human papillomavirus type 76,69985,32.0,32.0,66%,22,90.00,51,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARS33699.1?report=genbank&log$=prottop&blast_rank=46&RID=WF732HJ7013"",""ARS33699.1"")"
hypothetical protein [Kordia periserrulae],Kordia periserrulae,Kordia periserrulae,701523,31.6,31.6,80%,30,57.89,2056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_108114548.1?report=genbank&log$=prottop&blast_rank=47&RID=WF732HJ7013"",""WP_108114548.1"")"
spike protein [synthetic construct],synthetic construct,synthetic construct,32630,31.6,31.6,93%,30,64.29,1366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJX70752.1?report=genbank&log$=prottop&blast_rank=48&RID=WF732HJ7013"",""QJX70752.1"")"
tPA-SP-spike protein ectodomain [synthetic construct],synthetic construct,synthetic construct,32630,31.6,31.6,93%,30,64.29,1332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AXB55061.1?report=genbank&log$=prottop&blast_rank=49&RID=WF732HJ7013"",""AXB55061.1"")"
MULTISPECIES: gliding motility-associated C-terminal domain-containing protein [Chryseobacterium],Chryseobacterium,Chryseobacterium,59732,31.6,31.6,73%,30,64.71,756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102980397.1?report=genbank&log$=prottop&blast_rank=50&RID=WF732HJ7013"",""WP_102980397.1"")"
L1 protein [Human papillomavirus 100],Human papillomavirus 100,Human papillomavirus 100,587349,31.6,31.6,66%,30,90.00,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAW42244.1?report=genbank&log$=prottop&blast_rank=51&RID=WF732HJ7013"",""CAW42244.1"")"
major capsid protein [Human papillomavirus type 137],Human papillomavirus type 137,Human papillomavirus type 137,1070410,31.6,31.6,66%,30,90.00,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_006393301.1?report=genbank&log$=prottop&blast_rank=52&RID=WF732HJ7013"",""YP_006393301.1"")"
L1 protein [Human papillomavirus type 38b],Human papillomavirus type 38b,Human papillomavirus type 38b,334514,31.6,31.6,66%,30,90.00,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAY89824.1?report=genbank&log$=prottop&blast_rank=53&RID=WF732HJ7013"",""AAY89824.1"")"
major capsid protein [Human papillomavirus type 198],Human papillomavirus type 198,Human papillomavirus type 198,2093788,31.6,31.6,66%,30,90.00,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVE16211.1?report=genbank&log$=prottop&blast_rank=54&RID=WF732HJ7013"",""AVE16211.1"")"
RecName: Full=Major capsid protein L1 [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P50814.2?report=genbank&log$=prottop&blast_rank=55&RID=WF732HJ7013"",""P50814.2"")"
L1 [Betapapillomavirus 2],Betapapillomavirus 2,Betapapillomavirus 2,333924,31.6,31.6,66%,30,90.00,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATQ38118.1?report=genbank&log$=prottop&blast_rank=56&RID=WF732HJ7013"",""ATQ38118.1"")"
L1 protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYA93516.1?report=genbank&log$=prottop&blast_rank=57&RID=WF732HJ7013"",""AYA93516.1"")"
L1 [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QCQ84425.1?report=genbank&log$=prottop&blast_rank=58&RID=WF732HJ7013"",""QCQ84425.1"")"
late protein [Human papillomavirus 9],Human papillomavirus 9,Human papillomavirus 9,10621,31.6,31.6,66%,30,90.00,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_041866.1?report=genbank&log$=prottop&blast_rank=59&RID=WF732HJ7013"",""NP_041866.1"")"
L1 protein [Human papillomavirus 110],Human papillomavirus 110,Human papillomavirus 110,518629,31.6,31.6,66%,30,90.00,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACC78269.1?report=genbank&log$=prottop&blast_rank=60&RID=WF732HJ7013"",""ACC78269.1"")"
L1 protein [Human papillomavirus 111],Human papillomavirus 111,Human papillomavirus 111,518630,31.6,31.6,66%,30,90.00,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACC78276.1?report=genbank&log$=prottop&blast_rank=61&RID=WF732HJ7013"",""ACC78276.1"")"
hypothetical protein [bacterium],bacterium,bacterium,1869227,31.6,31.6,73%,30,81.82,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9074536.1?report=genbank&log$=prottop&blast_rank=62&RID=WF732HJ7013"",""MBD9074536.1"")"
hypothetical protein [Winogradskyella helgolandensis],Winogradskyella sp. Z963,Winogradskyella sp. Z963,2697010,31.6,31.6,86%,30,76.92,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179318307.1?report=genbank&log$=prottop&blast_rank=63&RID=WF732HJ7013"",""WP_179318307.1"")"
hypothetical protein [Formosa algae],Formosa algae,Formosa algae,225843,31.6,31.6,86%,30,76.92,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057780017.1?report=genbank&log$=prottop&blast_rank=64&RID=WF732HJ7013"",""WP_057780017.1"")"
hypothetical protein [Winogradskyella helgolandensis],Winogradskyella sp. Z963,Winogradskyella sp. Z963,2697010,31.6,31.6,86%,30,76.92,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_178983233.1?report=genbank&log$=prottop&blast_rank=65&RID=WF732HJ7013"",""WP_178983233.1"")"
hypothetical protein [Winogradskyella tangerina],Winogradskyella tangerina,Winogradskyella tangerina,2023240,31.6,31.6,60%,30,100.00,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_111684487.1?report=genbank&log$=prottop&blast_rank=66&RID=WF732HJ7013"",""WP_111684487.1"")"
hypothetical protein ED556_09495 [Winogradskyella sp.],Winogradskyella sp.,Winogradskyella sp.,1883156,31.6,31.6,60%,30,100.00,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RNC86508.1?report=genbank&log$=prottop&blast_rank=67&RID=WF732HJ7013"",""RNC86508.1"")"
L1 [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QCQ84371.1?report=genbank&log$=prottop&blast_rank=68&RID=WF732HJ7013"",""QCQ84371.1"")"
L1 capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACK56313.1?report=genbank&log$=prottop&blast_rank=69&RID=WF732HJ7013"",""ACK56313.1"")"
L1 capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACK56615.1?report=genbank&log$=prottop&blast_rank=70&RID=WF732HJ7013"",""ACK56615.1"")"
L1 capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACK56614.1?report=genbank&log$=prottop&blast_rank=71&RID=WF732HJ7013"",""ACK56614.1"")"
capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB97524.1?report=genbank&log$=prottop&blast_rank=72&RID=WF732HJ7013"",""AAB97524.1"")"
L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB54539.1?report=genbank&log$=prottop&blast_rank=73&RID=WF732HJ7013"",""CAB54539.1"")"
L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB54541.1?report=genbank&log$=prottop&blast_rank=74&RID=WF732HJ7013"",""CAB54541.1"")"
L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB54540.1?report=genbank&log$=prottop&blast_rank=75&RID=WF732HJ7013"",""CAB54540.1"")"
major capsid protein [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAQ15767.1?report=genbank&log$=prottop&blast_rank=76&RID=WF732HJ7013"",""CAQ15767.1"")"
major capsid protein [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAQ15765.1?report=genbank&log$=prottop&blast_rank=77&RID=WF732HJ7013"",""CAQ15765.1"")"
major capsid protein [Human papillomavirus 38],Human papillomavirus 38,Human papillomavirus 38,37959,31.6,31.6,66%,30,90.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAQ15745.1?report=genbank&log$=prottop&blast_rank=78&RID=WF732HJ7013"",""CAQ15745.1"")"
major capsid protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG26714.1?report=genbank&log$=prottop&blast_rank=79&RID=WF732HJ7013"",""CAG26714.1"")"
major capsid L1 protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CEF52509.1?report=genbank&log$=prottop&blast_rank=80&RID=WF732HJ7013"",""CEF52509.1"")"
major capsid L1 protein [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CEF52503.1?report=genbank&log$=prottop&blast_rank=81&RID=WF732HJ7013"",""CEF52503.1"")"
major capsid protein L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAC97983.1?report=genbank&log$=prottop&blast_rank=82&RID=WF732HJ7013"",""AAC97983.1"")"
major capsid protein L1 [Human papillomavirus],Human papillomavirus,Human papillomavirus,10566,31.6,31.6,66%,30,90.00,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAC97982.1?report=genbank&log$=prottop&blast_rank=83&RID=WF732HJ7013"",""AAC97982.1"")"
major capsid protein [Erinaceus europaeus papillomavirus 1],Erinaceus europaeus papillomavirus 1,Erinaceus europaeus papillomavirus 1,445217,31.2,31.2,66%,43,90.00,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_002427696.1?report=genbank&log$=prottop&blast_rank=84&RID=WF732HJ7013"",""YP_002427696.1"")"
polymeric immunoglobulin receptor-like isoform X1 [Phyllostomus discolor],Phyllostomus discolor,pale spear-nosed bat,89673,31.2,31.2,80%,43,75.00,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035889982.1?report=genbank&log$=prottop&blast_rank=85&RID=WF732HJ7013"",""XP_035889982.1"")"
hypothetical protein [Arenitalea lutea],Arenitalea lutea,Arenitalea lutea,1178825,31.2,31.2,86%,43,76.92,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019386502.1?report=genbank&log$=prottop&blast_rank=86&RID=WF732HJ7013"",""WP_019386502.1"")"
prolyl oligopeptidase family serine peptidase [Streptacidiphilus rugosus],Streptacidiphilus rugosus,Streptacidiphilus rugosus,405783,31.2,31.2,80%,43,75.00,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_037604611.1?report=genbank&log$=prottop&blast_rank=87&RID=WF732HJ7013"",""WP_037604611.1"")"
CMRF35-like molecule 5 isoform X4 [Phyllostomus discolor],Phyllostomus discolor,pale spear-nosed bat,89673,31.2,31.2,80%,43,75.00,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035889985.1?report=genbank&log$=prottop&blast_rank=88&RID=WF732HJ7013"",""XP_035889985.1"")"
CMRF35-like molecule 5 isoform X3 [Phyllostomus discolor],Phyllostomus discolor,pale spear-nosed bat,89673,31.2,31.2,80%,43,75.00,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035889984.1?report=genbank&log$=prottop&blast_rank=89&RID=WF732HJ7013"",""XP_035889984.1"")"
histone-lysine N-methyltransferase family member SUVH9 [Medicago truncatula],Medicago truncatula,barrel medic,3880,30.8,30.8,73%,61,83.33,769,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013446218.1?report=genbank&log$=prottop&blast_rank=90&RID=WF732HJ7013"",""XP_013446218.1"")"
protease-like activity factor CPAF [Bdellovibrionales bacterium],Bdellovibrionales bacterium,Bdellovibrionales bacterium,2053517,30.8,30.8,100%,61,64.71,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE8222039.1?report=genbank&log$=prottop&blast_rank=91&RID=WF732HJ7013"",""MBE8222039.1"")"
