Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein E6J21_04855 [Chloroflexi bacterium],Chloroflexi bacterium,Chloroflexi bacterium,2026724,31.2,31.2,100%,43,66.67,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMC63516.1?report=genbank&log$=prottop&blast_rank=30&RID=WC7AU9H1013"",""TMC63516.1"")"
hypothetical protein E6J48_00435 [Chloroflexi bacterium],Chloroflexi bacterium,Chloroflexi bacterium,2026724,31.2,31.2,100%,43,66.67,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMB85395.1?report=genbank&log$=prottop&blast_rank=31&RID=WC7AU9H1013"",""TMB85395.1"")"
hypothetical protein E6J04_06510 [Chloroflexi bacterium],Chloroflexi bacterium,Chloroflexi bacterium,2026724,31.2,31.2,100%,43,66.67,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMD34585.1?report=genbank&log$=prottop&blast_rank=32&RID=WC7AU9H1013"",""TMD34585.1"")"
acyltransferase [Chloroflexi bacterium],Chloroflexi bacterium,Chloroflexi bacterium,2026724,31.2,31.2,100%,43,66.67,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMC18609.1?report=genbank&log$=prottop&blast_rank=33&RID=WC7AU9H1013"",""TMC18609.1"")"
hypothetical protein [Xanthomonas maliensis],Xanthomonas maliensis,Xanthomonas maliensis,1321368,31.2,31.2,93%,43,66.67,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152249461.1?report=genbank&log$=prottop&blast_rank=34&RID=WC7AU9H1013"",""WP_152249461.1"")"
hypothetical protein AM324_04455 [Candidatus Thorarchaeota archaeon SMTZ1-83],Candidatus Thorarchaeota archaeon SMTZ1-83,Candidatus Thorarchaeota archaeon SMTZ1-83,1706445,31.2,31.2,93%,43,64.29,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXH77019.1?report=genbank&log$=prottop&blast_rank=35&RID=WC7AU9H1013"",""KXH77019.1"")"
hypothetical protein Ahy_B07g088287 [Arachis hypogaea],Arachis hypogaea,peanut,3818,30.8,30.8,93%,61,61.11,1206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RYR00188.1?report=genbank&log$=prottop&blast_rank=36&RID=WC7AU9H1013"",""RYR00188.1"")"
hypothetical protein Ahy_A07g031646 [Arachis hypogaea],Arachis hypogaea,peanut,3818,30.8,30.8,93%,61,61.11,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RYR45875.1?report=genbank&log$=prottop&blast_rank=37&RID=WC7AU9H1013"",""RYR45875.1"")"
endoglucanase 11 [Arachis duranensis],Arachis duranensis,Arachis duranensis,130453,30.8,30.8,93%,61,61.11,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015973602.1?report=genbank&log$=prottop&blast_rank=38&RID=WC7AU9H1013"",""XP_015973602.1"")"
endoglucanase 11 [Arachis ipaensis],Arachis ipaensis,Arachis ipaensis,130454,30.8,30.8,93%,61,61.11,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016167547.1?report=genbank&log$=prottop&blast_rank=39&RID=WC7AU9H1013"",""XP_016167547.1"")"
endoglucanase 11 [Arachis hypogaea],Arachis hypogaea,peanut,3818,30.8,30.8,93%,61,61.11,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025608995.1?report=genbank&log$=prottop&blast_rank=40&RID=WC7AU9H1013"",""XP_025608995.1"")"
hypothetical protein DV738_g68 [Chaetothyriales sp. CBS 135597],Chaetothyriales sp. CBS 135597,Chaetothyriales sp. CBS 135597,2249420,30.8,30.8,80%,61,75.00,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMZ85312.1?report=genbank&log$=prottop&blast_rank=41&RID=WC7AU9H1013"",""RMZ85312.1"")"
MFS transporter [Rathayibacter toxicus],Rathayibacter toxicus,Rathayibacter toxicus,145458,30.8,30.8,80%,61,71.43,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060578775.1?report=genbank&log$=prottop&blast_rank=42&RID=WC7AU9H1013"",""WP_060578775.1"")"
hypothetical protein TI83_05890 [Rathayibacter toxicus],Rathayibacter toxicus,Rathayibacter toxicus,145458,30.8,30.8,80%,61,71.43,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJM77595.1?report=genbank&log$=prottop&blast_rank=43&RID=WC7AU9H1013"",""AJM77595.1"")"
TPA: hypothetical protein [Bacteroidia bacterium],Bacteroidia bacterium,Bacteroidia bacterium,2044936,30.8,30.8,100%,61,66.67,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGG70926.1?report=genbank&log$=prottop&blast_rank=44&RID=WC7AU9H1013"",""HGG70926.1"")"
hypothetical protein HMPREF0017_01769 [Acinetobacter lwoffii SH145],Acinetobacter lwoffii SH145,Acinetobacter lwoffii SH145,575588,30.8,30.8,93%,61,62.50,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEY89465.1?report=genbank&log$=prottop&blast_rank=45&RID=WC7AU9H1013"",""EEY89465.1"")"
MULTISPECIES: hypothetical protein [Acinetobacter],Acinetobacter,Acinetobacter,469,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004645749.1?report=genbank&log$=prottop&blast_rank=46&RID=WC7AU9H1013"",""WP_004645749.1"")"
hypothetical protein [Acinetobacter lwoffii],Acinetobacter lwoffii,Acinetobacter lwoffii,28090,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005106342.1?report=genbank&log$=prottop&blast_rank=47&RID=WC7AU9H1013"",""WP_005106342.1"")"
hypothetical protein [Acinetobacter sp. CIP 51.11],Acinetobacter sp. CIP 51.11,Acinetobacter sp. CIP 51.11,1144670,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005247698.1?report=genbank&log$=prottop&blast_rank=48&RID=WC7AU9H1013"",""WP_005247698.1"")"
hypothetical protein [Acinetobacter sp. YH16052],Acinetobacter sp. YH16052,Acinetobacter sp. YH16052,2601191,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180037177.1?report=genbank&log$=prottop&blast_rank=49&RID=WC7AU9H1013"",""WP_180037177.1"")"
hypothetical protein [Acinetobacter sp. CIP 102136],Acinetobacter sp. CIP 102136,Acinetobacter sp. CIP 102136,1144665,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005252537.1?report=genbank&log$=prottop&blast_rank=50&RID=WC7AU9H1013"",""WP_005252537.1"")"
MULTISPECIES: hypothetical protein [Acinetobacter],Acinetobacter,Acinetobacter,469,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180086496.1?report=genbank&log$=prottop&blast_rank=51&RID=WC7AU9H1013"",""WP_180086496.1"")"
hypothetical protein [Acinetobacter sp. YH01021],Acinetobacter sp. YH01021,Acinetobacter sp. YH01021,2601035,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180180544.1?report=genbank&log$=prottop&blast_rank=52&RID=WC7AU9H1013"",""WP_180180544.1"")"
hypothetical protein [Acinetobacter lwoffii],Acinetobacter lwoffii,Acinetobacter lwoffii,28090,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129716747.1?report=genbank&log$=prottop&blast_rank=53&RID=WC7AU9H1013"",""WP_129716747.1"")"
hypothetical protein DVA85_01310 [Acinetobacter sp. RIT592],Acinetobacter sp. RIT592,Acinetobacter sp. RIT592,2282417,30.8,30.8,93%,61,62.50,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RDC53686.1?report=genbank&log$=prottop&blast_rank=54&RID=WC7AU9H1013"",""RDC53686.1"")"
ABC transporter permease [Deinococcus actinosclerus],Deinococcus actinosclerus,Deinococcus actinosclerus,1768108,30.8,30.8,66%,61,90.00,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062158688.1?report=genbank&log$=prottop&blast_rank=55&RID=WC7AU9H1013"",""WP_062158688.1"")"
methionine ABC transporter permease MetI [Deinococcus indicus],Deinococcus indicus,Deinococcus indicus,223556,30.8,30.8,66%,61,90.00,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191301779.1?report=genbank&log$=prottop&blast_rank=56&RID=WC7AU9H1013"",""WP_191301779.1"")"
ABC transporter permease [Deinococcus sp. KR-1],Deinococcus sp. KR-1,Deinococcus sp. KR-1,2662757,30.8,30.8,66%,61,90.00,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155299384.1?report=genbank&log$=prottop&blast_rank=57&RID=WC7AU9H1013"",""WP_155299384.1"")"
uncharacterized protein TRUGW13939_04364 [Talaromyces rugulosus],Talaromyces rugulosus,Talaromyces rugulosus,121627,30.3,30.3,60%,86,88.89,797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035343434.1?report=genbank&log$=prottop&blast_rank=58&RID=WC7AU9H1013"",""XP_035343434.1"")"
hypothetical protein [Acidimicrobiaceae bacterium],Acidimicrobiaceae bacterium,Acidimicrobiaceae bacterium,2024894,30.3,30.3,53%,86,100.00,626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD53383.1?report=genbank&log$=prottop&blast_rank=59&RID=WC7AU9H1013"",""MBD53383.1"")"
ABC transporter permease [Actinoplanes brasiliensis],Actinoplanes brasiliensis,Actinoplanes brasiliensis,52695,30.3,30.3,60%,86,100.00,530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133876104.1?report=genbank&log$=prottop&blast_rank=60&RID=WC7AU9H1013"",""WP_133876104.1"")"
ABC transporter permease [Asanoa hainanensis],Asanoa hainanensis,Asanoa hainanensis,560556,30.3,30.3,60%,86,100.00,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089255198.1?report=genbank&log$=prottop&blast_rank=61&RID=WC7AU9H1013"",""WP_089255198.1"")"
ABC transporter permease [Actinoplanes atraurantiacus],Actinoplanes atraurantiacus,Actinoplanes atraurantiacus,1036182,30.3,30.3,60%,86,100.00,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_097328014.1?report=genbank&log$=prottop&blast_rank=62&RID=WC7AU9H1013"",""WP_097328014.1"")"
ABC transporter permease [Actinoplanes sp. LAM7112],Actinoplanes sp. LAM7112,Actinoplanes sp. LAM7112,2486853,30.3,30.3,60%,86,100.00,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127508573.1?report=genbank&log$=prottop&blast_rank=63&RID=WC7AU9H1013"",""WP_127508573.1"")"
ABC transporter permease [Phytohabitans houttuyneae],Phytohabitans houttuyneae,Phytohabitans houttuyneae,1076126,30.3,30.3,60%,86,100.00,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173061326.1?report=genbank&log$=prottop&blast_rank=64&RID=WC7AU9H1013"",""WP_173061326.1"")"
ABC transporter permease [Phytohabitans suffuscus],Phytohabitans suffuscus,Phytohabitans suffuscus,624315,30.3,30.3,60%,86,100.00,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173165738.1?report=genbank&log$=prottop&blast_rank=65&RID=WC7AU9H1013"",""WP_173165738.1"")"
V-type proton ATPase subunit S1-like [Xiphophorus couchianus],Xiphophorus couchianus,Monterrey platyfish,32473,30.3,30.3,93%,86,73.33,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027865978.1?report=genbank&log$=prottop&blast_rank=66&RID=WC7AU9H1013"",""XP_027865978.1"")"
uncharacterized protein ATNIH1004_001140 [Aspergillus tanneri],Aspergillus tanneri,Aspergillus tanneri,1220188,30.3,30.3,66%,86,80.00,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033431597.1?report=genbank&log$=prottop&blast_rank=67&RID=WC7AU9H1013"",""XP_033431597.1"")"
MFS transporter [Erysipelothrix sp.],Erysipelothrix sp.,Erysipelothrix sp.,38403,30.3,30.3,73%,86,81.82,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLC06059.1?report=genbank&log$=prottop&blast_rank=68&RID=WC7AU9H1013"",""NLC06059.1"")"
UPF0613 protein [Talaromyces islandicus],Talaromyces islandicus,Talaromyces islandicus,28573,30.3,30.3,60%,86,88.89,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CRG86401.1?report=genbank&log$=prottop&blast_rank=69&RID=WC7AU9H1013"",""CRG86401.1"")"
"phosphate ABC transporter membrane protein 2, PhoT family [Frankineae bacterium MT45]",Frankineae bacterium MT45,Frankineae bacterium MT45,1882833,30.3,30.3,86%,86,62.50,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SDI91647.1?report=genbank&log$=prottop&blast_rank=70&RID=WC7AU9H1013"",""SDI91647.1"")"
hypothetical protein [Fluoribacter dumoffii Tex-KL],Fluoribacter dumoffii Tex-KL,Fluoribacter dumoffii Tex-KL,1094714,30.3,30.3,80%,86,64.29,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF92654.1?report=genbank&log$=prottop&blast_rank=71&RID=WC7AU9H1013"",""BAF92654.1"")"
MULTISPECIES: hypothetical protein [Legionellaceae],Legionellaceae,Legionellaceae,444,30.3,30.3,80%,86,64.29,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058387442.1?report=genbank&log$=prottop&blast_rank=72&RID=WC7AU9H1013"",""WP_058387442.1"")"
putative uncharacterized protein [Mycoplasma sp. CAG:956],Mycoplasma sp. CAG:956,Mycoplasma sp. CAG:956,1262908,30.3,30.3,100%,86,66.67,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CCY89428.1?report=genbank&log$=prottop&blast_rank=73&RID=WC7AU9H1013"",""CCY89428.1"")"
hypothetical protein PRIPAC_79230 [Pristionchus pacificus],Pristionchus pacificus,Pristionchus pacificus,54126,29.9,29.9,66%,121,90.00,1179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8372801.1?report=genbank&log$=prottop&blast_rank=74&RID=WC7AU9H1013"",""KAF8372801.1"")"
PREDICTED: F-box/LRR-repeat protein 3-like isoform X1 [Fragaria vesca subsp. vesca],Fragaria vesca subsp. vesca,Fragaria vesca subsp. vesca,101020,29.9,29.9,100%,121,66.67,720,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011461441.1?report=genbank&log$=prottop&blast_rank=75&RID=WC7AU9H1013"",""XP_011461441.1"")"
PREDICTED: F-box/LRR-repeat protein 3-like isoform X2 [Fragaria vesca subsp. vesca],Fragaria vesca subsp. vesca,Fragaria vesca subsp. vesca,101020,29.9,29.9,100%,121,66.67,704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004296043.2?report=genbank&log$=prottop&blast_rank=76&RID=WC7AU9H1013"",""XP_004296043.2"")"
semaphorin-7A-like isoform X1 [Anguilla anguilla],Anguilla anguilla,European eel,7936,29.9,29.9,100%,121,61.11,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035274437.1?report=genbank&log$=prottop&blast_rank=77&RID=WC7AU9H1013"",""XP_035274437.1"")"
semaphorin-7A-like isoform X2 [Anguilla anguilla],Anguilla anguilla,European eel,7936,29.9,29.9,100%,121,61.11,628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035274438.1?report=genbank&log$=prottop&blast_rank=78&RID=WC7AU9H1013"",""XP_035274438.1"")"
hypothetical protein A1O5_08502 [Cladophialophora psammophila CBS 110553],Cladophialophora psammophila CBS 110553,Cladophialophora psammophila CBS 110553,1182543,29.9,29.9,73%,121,72.73,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007747274.1?report=genbank&log$=prottop&blast_rank=79&RID=WC7AU9H1013"",""XP_007747274.1"")"
conserved hypothetical protein [Byssochlamys spectabilis No. 5],Byssochlamys spectabilis No. 5,Byssochlamys spectabilis No. 5,1356009,29.9,29.9,66%,121,80.00,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAD95842.1?report=genbank&log$=prottop&blast_rank=80&RID=WC7AU9H1013"",""GAD95842.1"")"
ICE2-domain-containing protein [Byssochlamys spectabilis],Byssochlamys spectabilis,Byssochlamys spectabilis,264951,29.9,29.9,66%,121,80.00,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028489294.1?report=genbank&log$=prottop&blast_rank=81&RID=WC7AU9H1013"",""XP_028489294.1"")"
hypothetical protein CCHL11_03165 [Colletotrichum chlorophyti],Colletotrichum chlorophyti,Colletotrichum chlorophyti,708187,29.9,29.9,93%,121,57.14,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OLN83296.1?report=genbank&log$=prottop&blast_rank=82&RID=WC7AU9H1013"",""OLN83296.1"")"
hypothetical protein CSOJ01_11164 [Colletotrichum sojae],Colletotrichum sojae,Colletotrichum sojae,2175907,29.9,29.9,93%,121,64.29,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6803042.1?report=genbank&log$=prottop&blast_rank=83&RID=WC7AU9H1013"",""KAF6803042.1"")"
hypothetical protein CPLU01_11054 [Colletotrichum plurivorum],Colletotrichum plurivorum,Colletotrichum plurivorum,2175906,29.9,29.9,93%,121,64.29,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6824058.1?report=genbank&log$=prottop&blast_rank=84&RID=WC7AU9H1013"",""KAF6824058.1"")"
